category,badge_name,age_group,badge_tier,metric_code,threshold,threshold type,file_name,file_type
mechanics,s_2_10,pro,silver,mechanics_s_2_10_pro_silver,10,sequencing_2_session_count,mechanics_s_2_10_pro_silver.png,png
mechanics,s_1_20,pro,gold,mechanics_s_1_20_pro_gold,20,sequencing_1_session_count,mechanics_s_1_20_pro_gold.png,png
mechanics,s_2_20,pro,gold,mechanics_s_2_20_pro_gold,20,sequencing_2_session_count,mechanics_s_2_20_pro_gold.png,png
,,,,,,,,
mechanics,s_1_5,softball,bronze,mechanics_s_1_5_softball_bronze,5,sequencing_1_session_count,mechanics_s_1_5_softball_bronze.png,png
mechanics,s_2_5,softball,bronze,mechanics_s_2_5_softball_bronze,5,sequencing_2_session_count,mechanics_s_2_5_softball_bronze.png,png
mechanics,s_1_10,softball,silver,mechanics_s_1_10_softball_silver,10,sequencing_1_session_count,mechanics_s_1_10_softball_silver.png,png
mechanics,s_2_10,softball,silver,mechanics_s_2_10_softball_silver,10,sequencing_2_session_count,mechanics_s_2_10_softball_silver.png,png
mechanics,s_1_20,softball,gold,mechanics_s_1_20_softball_gold,20,sequencing_1_session_count,mechanics_s_1_20_softball_gold.png,png
mechanics,s_2_20,softball,gold,mechanics_s_2_20_softball_gold,20,sequencing_2_session_count,mechanics_s_2_20_softball_gold.png,png
,,,,,,,,
mechanics,bd_5,youth,bronze,mechanics_bd_5_youth_bronze,5,bat_delivery_session_count,mechanics_bd_5_youth_bronze.png,png
mechanics,bd_10,youth,silver,mechanics_bd_10_youth_silver,10,bat_delivery_session_count,mechanics_bd_10_youth_silver.png,png
mechanics,bd_20,youth,gold,mechanics_bd_20_youth_gold,20,bat_delivery_session_count,mechanics_bd_20_youth_gold.png,png
,,,,,,,,
mechanics,bd_5,all_star,bronze,mechanics_bd_5_all_star_bronze,5,bat_delivery_session_count,mechanics_bd_5_all_star_bronze.png,png
mechanics,bd_10,all_star,silver,mechanics_bd_10_all_star_silver,10,bat_delivery_session_count,mechanics_bd_10_all_star_silver.png,png
mechanics,bd_20,all_star,gold,mechanics_bd_20_all_star_gold,20,bat_delivery_session_count,mechanics_bd_20_all_star_gold.png,png
,,,,,,,,
mechanics,bd_5,pro,bronze,mechanics_bd_5_pro_bronze,5,bat_delivery_session_count,mechanics_bd_5_pro_bronze.png,png
mechanics,bd_10,pro,silver,mechanics_bd_10_pro_silver,10,bat_delivery_session_count,mechanics_bd_10_pro_silver.png,png
mechanics,bd_20,pro,gold,mechanics_bd_20_pro_gold,20,bat_delivery_session_count,mechanics_bd_20_pro_gold.png,png
,,,,,,,,
mechanics,bd_5,softball,bronze,mechanics_bd_5_softball_bronze,5,bat_delivery_session_count,mechanics_bd_5_softball_bronze.png,png
mechanics,bd_10,softball,silver,mechanics_bd_10_softball_silver,10,bat_delivery_session_count,mechanics_bd_10_softball_silver.png,png
mechanics,bd_20,softball,gold,mechanics_bd_20_softball_gold,20,bat_delivery_session_count,mechanics_bd_20_softball_gold.png,png
,,,,,,,,
warm_up,dwu_1,youth,bronze,warm_up_dwu_1_youth_bronze,1,dynamic_session_count,warm_up_dwu_1_youth_bronze.png,png
warm_up,dwu_25,youth,silver,warm_up_dwu_25_youth_silver,25,dynamic_session_count,warm_up_dwu_25_youth_silver.png,png
warm_up,dwu_50,youth,gold,warm_up_dwu_50_youth_gold,50,dynamic_session_count,warm_up_dwu_50_youth_gold.png,png
,,,,,,,,
warm_up,dwu_1,all_star,bronze,warm_up_dwu_1_all_star_bronze,1,dynamic_session_count,warm_up_dwu_1_all_star_bronze.png,png
warm_up,dwu_25,all_star,silver,warm_up_dwu_25_all_star_silver,25,dynamic_session_count,warm_up_dwu_25_all_star_silver.png,png
warm_up,dwu_50,all_star,gold,warm_up_dwu_50_all_star_gold,50,dynamic_session_count,warm_up_dwu_50_all_star_gold.png,png
,,,,,,,,
warm_up,dwu_1,pro,bronze,warm_up_dwu_1_pro_bronze,1,dynamic_session_count,warm_up_dwu_1_pro_bronze.png,png
warm_up,dwu_25,pro,silver,warm_up_dwu_25_pro_silver,25,dynamic_session_count,warm_up_dwu_25_pro_silver.png,png
warm_up,dwu_50,pro,gold,warm_up_dwu_50_pro_gold,50,dynamic_session_count,warm_up_dwu_50_pro_gold.png,png
,,,,,,,,
warm_up,dwu_1,softball,bronze,warm_up_dwu_1_softball_bronze,1,dynamic_session_count,warm_up_dwu_1_softball_bronze.png,png
warm_up,dwu_25,softball,silver,warm_up_dwu_25_softball_silver,25,dynamic_session_count,warm_up_dwu_25_softball_silver.png,png
warm_up,dwu_50,softball,gold,warm_up_dwu_50_softball_gold,50,dynamic_session_count,warm_up_dwu_50_softball_gold.png,png
,,,,,,,,
exit_velo,eva_1_1,youth,silver,exit_velo_eva_1_1_youth_silver,1,exit_velo_application_1_session_count,exit_velo_eva_1_1_youth_silver.png,png
exit_velo,eva_1_10,youth,gold,exit_velo_eva_1_10_youth_gold,10,exit_velo_application_1_session_count,exit_velo_eva_1_10_youth_gold.png,png
exit_velo,eva_2_1,youth,silver,exit_velo_eva_2_1_youth_silver,1,exit_velo_application_2_session_count,exit_velo_eva_2_1_youth_silver.png,png
